Team,AvgPoints
PSG,13.82024
Real Madrid,14.331
Man City,14.13094
Bayern,13.33309
Liverpool,15.75049
Inter,13.24246
Chelsea,13.6017
Dortmund,11.25534
Barcelona,14.25093
Arsenal,15.7959
Leverkusen,11.29108
Atletico,11.00547
Benfica,10.05229
Atalanta,11.49175
Villareal,10.94438
Juventus,11.88956
Frankfurt,8.9486
Club Brugge,9.07446
Tottenham,11.80895
PSV,8.49084
Ajax,8.09039
Napoli,13.0927
Sporting CP,10.28656
Olympiacos,9.29802
Slavia Praag,7.57454
Bodo/Glimt,6.89786
Marseille,8.54201
Copenhagen,8.21782
Monaco,10.48373
Galatasaray,8.46461
Union,8.59805
Qarabag,5.22871
Atheletic Club,9.54596
Newcastle,11.52721
Pafos,6.18712
Kairat Almaty,3.30761
